State  Recv-Q Send-Q               Local Address:Port  Peer Address:Port
LISTEN 0      4096                             *:8802             *:*   
LISTEN 0      4096                             *:8803             *:*   
LISTEN 0      4096                             *:8801             *:*   
LISTEN 0      4096                             *:8807             *:*   
LISTEN 0      4096                             *:8804             *:*   
LISTEN 0      4096                             *:8851             *:*   
LISTEN 0      4096                             *:8852             *:*   
LISTEN 0      4096                             *:8853             *:*   
LISTEN 0      4096                             *:8891             *:*   
LISTEN 0      4096                             *:8871             *:*   
LISTEN 0      4096                             *:8912             *:*   
LISTEN 0      4096                             *:8913             *:*   
LISTEN 0      4096                             *:8911             *:*   
LISTEN 0      4096                             *:8937             *:*   
LISTEN 0      4096                             *:8931             *:*   
LISTEN 0      4096                             *:8934             *:*   
LISTEN 0      4096                             *:8932             *:*   
LISTEN 0      4096                             *:8933             *:*   
LISTEN 0      4096   [fd7a:115c:a1e0::4835:d041]:8444          [::]:*   
LISTEN 0      4096   [fd7a:115c:a1e0::4835:d041]:8443          [::]:*   
LISTEN 0      5                            [::1]:5911          [::]:*   
LISTEN 0      5                            [::1]:5917          [::]:*   
LISTEN 0      5                            [::1]:5916          [::]:*   
LISTEN 0      5                            [::1]:5919          [::]:*   
LISTEN 0      5                            [::1]:5913          [::]:*   
LISTEN 0      5                            [::1]:5912          [::]:*   
LISTEN 0      5                            [::1]:5915          [::]:*   
LISTEN 0      5                            [::1]:5914          [::]:*   
LISTEN 0      5                            [::1]:5901          [::]:*   
LISTEN 0      511                              *:4320             *:*   
LISTEN 0      4096                          [::]:55441         [::]:*   
LISTEN 0      4096                          [::]:55439         [::]:*   
LISTEN 0      4096                          [::]:22            [::]:*   
LISTEN 0      4096   [fd7a:115c:a1e0::4835:d041]:51824         [::]:*   
